"Code_County","Code_Perfecture","Code_Province","Name_Province","Name_Perfecture","Name_County","Pinyin","Pop_2000","Pop_2010","Pop_2017","Pop_2018","Area","Density","pc_key"
"110101","1101","11","北京市","北京市","东城区","Dōngchéng Qū [incl. Chongwen]",881763,919253,NA,822000,41.79,19669.78,"北京市_北京市_东城区"
"110102","1101","11","北京市","北京市","西城区","Xīchéng Qū [incl. Xuanwu]",1232823,1243315,NA,1179000,50.47,23360.41,"北京市_北京市_西城区"
"110114","1101","11","北京市","北京市","昌平区","Chāngpíng Qū",614821,1660501,NA,2108000,1342,1570.79,"北京市_北京市_昌平区"
"110115","1101","11","北京市","北京市","大兴区","Dàxīng Qū",671444,1365112,NA,1796000,1053,1705.6,"北京市_北京市_大兴区"
"110111","1101","11","北京市","北京市","房山区","Fángshān Qū",814367,944832,NA,1188000,1995,595.49,"北京市_北京市_房山区"
"110116","1101","11","北京市","北京市","怀柔区","Huáiróu Qū",296002,372887,NA,414000,2123,195.01,"北京市_北京市_怀柔区"
"110109","1101","11","北京市","北京市","门头沟区","Méntóugōu Qū",266591,290476,NA,331000,1448,228.59,"北京市_北京市_门头沟区"
"110118","1101","11","北京市","北京市","密云区","Mìyún Qū",420019,467680,NA,495000,2226,222.37,"北京市_北京市_密云区"
"110117","1101","11","北京市","北京市","平谷区","Pínggŭ Qū",396701,415958,NA,456000,948,481.01,"北京市_北京市_平谷区"
"110113","1101","11","北京市","北京市","顺义区","Shùnyì Qū",636479,876620,NA,1169000,1009,1158.57,"北京市_北京市_顺义区"
"110112","1101","11","北京市","北京市","通州区","Tōngzhōu Qū",673952,1184256,NA,1578000,888.8,1775.43,"北京市_北京市_通州区"
"110119","1101","11","北京市","北京市","延庆区","Yánqìng Qū",275433,317426,NA,348000,1995,174.44,"北京市_北京市_延庆区"
"110105","1101","11","北京市","北京市","朝阳区","Cháoyáng Qū",2289756,3545137,NA,3605000,464.9,7754.36,"北京市_北京市_朝阳区"
"110106","1101","11","北京市","北京市","丰台区","Fēngtái Qū",1369480,2112162,NA,2105000,304.9,6903.9,"北京市_北京市_丰台区"
"110108","1101","11","北京市","北京市","海淀区","Hăidiàn Qū",2240124,3280670,NA,3358000,431,7791.18,"北京市_北京市_海淀区"
"110107","1101","11","北京市","北京市","石景山区","Shíjĭngshān Qū",489439,616083,NA,590000,85.05,6937.1,"北京市_北京市_石景山区"
"120116","1201","12","天津市","天津市","滨海新区","Bīnhăixīn Qū [incl. Dagang, Hangu, Tanggu]",1115997,2423204,2984200,NA,2610,1143.37,"天津市_天津市_滨海新区"
"120115","1201","12","天津市","天津市","宝坻区","Băodí Qū",646947,799157,926700,NA,1510,613.71,"天津市_天津市_宝坻区"
"120113","1201","12","天津市","天津市","北辰区","Bĕichén Qū",444791,669121,861000,NA,473.6,1817.99,"天津市_天津市_北辰区"
"120110","1201","12","天津市","天津市","东丽区","Dōnglì Qū",442224,598966,757900,NA,469.2,1615.3,"天津市_天津市_东丽区"
"120105","1201","12","天津市","天津市","河北区","Hébĕi Qū",633603,788451,889400,NA,29.53,30118.52,"天津市_天津市_河北区"
