,locations
0,上海市县崇明县
1,上海市市辖区闸北区
2,云南省临沧市市辖区
3,云南省临沧市耿马县
4,云南省丽江市市辖区
5,云南省保山市市辖区
6,云南省保山市腾冲县
7,云南省大理州大理市
8,云南省大理州宾川县
9,云南省大理州鹤庆县
10,云南省德宏州瑞丽市
11,云南省德宏州盈江县
12,云南省德宏州芒市
13,云南省怒江傈僳族自治州泸水县
14,云南省怒江州泸水市
15,云南省文山壮族苗族自治州文山县
16,云南省文山州丘北县
17,云南省文山州文山市
18,云南省文山州砚山县
19,云南省文山州马关县
20,云南省昆明市呈贡县
21,云南省昆明市市辖区
22,云南省昆明市晋宁县
23,云南省昭通市市辖区
24,云南省昭通市水富县
25,云南省普洱市孟连县
26,云南省普洱市市辖区
27,云南省普洱市景谷县
28,云南省普洱市江城县
29,云南省普洱市澜沧县
30,云南省曲靖市市辖区
31,云南省曲靖市沾益县
32,云南省曲靖市马龙县
33,云南省楚雄州双柏县
34,云南省楚雄州大姚县
35,云南省楚雄州楚雄市
36,云南省楚雄州禄丰县
37,云南省玉溪市元江哈尼族彝族傣族自
38,云南省玉溪市市辖区
39,云南省玉溪市江川县
40,云南省玉溪市澄江县
41,云南省红河哈尼族彝族自治州弥勒县
42,云南省红河哈尼族彝族自治州蒙自县
43,云南省红河州个旧市
44,云南省红河州建水县
45,云南省红河州开远市
46,云南省红河州弥勒市
47,云南省红河州河口县
48,云南省红河州蒙自市
49,云南省红河州金平县
50,云南省迪庆州维西县
51,云南省迪庆州香格里拉市
52,云南省迪庆藏族自治州香格里拉县
53,内蒙古自治区乌兰察布市市辖区
54,内蒙古自治区乌海市市辖区
55,内蒙古自治区包头市市辖区
56,内蒙古自治区包头市稀土高新技术产业开发
57,内蒙古自治区包头市稀土高新技术产业开发区
58,内蒙古自治区呼伦贝尔市市辖区
59,内蒙古自治区呼和浩特市土左旗
60,内蒙古自治区呼和浩特市市辖区
61,内蒙古自治区巴彦淖尔市市辖区
62,内蒙古自治区赤峰市市辖区
63,内蒙古自治区通辽市市辖区
64,内蒙古自治区通辽市经济技术开发区
65,内蒙古自治区鄂尔多斯市市辖区
66,内蒙古自治区鄂尔多斯市康巴什新区
67,内蒙古自治区锡林郭勒盟乌拉盖管理区
68,内蒙古自治区阿拉善盟阿拉善经济开发区
69,北京市县密云县
70,北京市县延庆县
71,台湾nullnull
72,吉林省吉林市市辖区
73,吉林省吉林市经济技术开发区
74,吉林省吉林市高新技术开发区
75,吉林省四平市公主岭市
76,吉林省四平市市辖区
77,吉林省四平市辽河农垦管理区
78,吉林省延边州和龙市
79,吉林省延边州安图县
80,吉林省延边州延吉市
81,吉林省延边州敦化市
82,吉林省延边州珲春市
83,吉林省松原市前郭尔罗斯蒙古族自治
84,吉林省松原市哈达山旅游经济开发区
85,吉林省松原市市辖区
86,吉林省松原市经开区
87,吉林省松原市经济技术开发区
88,吉林省白城市市辖区
89,吉林省白城市查干浩特旅游经济开发区
90,吉林省白山市市辖区
91,吉林省白山市江源县
92,吉林省辽源市市辖区
93,吉林省辽源市经济开发区
94,吉林省通化市市辖区
95,吉林省长春市九台市
96,吉林省长春市净月旅游开发区
97,吉林省长春市市辖区
98,吉林省长春市汽车产业开发区
99,吉林省长春市经济技术开发区
100,吉林省长春市高新技术产业开发区
101,吉林省长春新区长春北湖科技开发区
102,吉林省长春新区长春空港经济开发区
103,吉林省长春新区长春长东开发先导区（长德新区）
104,吉林省长春新区长春高新技术产业开发区
105,吉林省长白山管委会池北区
106,四川省乐山市市辖区
107,四川省内江市市辖区
108,四川省内江市经开区
109,四川省内江市隆昌县
110,四川省凉山州西昌市
111,四川省南充市市辖区
112,四川省宜宾市宜宾县
113,四川省宜宾市市辖区
114,四川省广元市市辖区
115,四川省广元市经开区
116,四川省广安市市辖区
117,四川省德阳市市辖区
118,四川省德阳市罗江县
119,四川省成都市双流县
120,四川省成都市天府新区
121,四川省成都市市辖区
122,四川省成都市简阳市
123,四川省成都市郫县
124,四川省成都市高新区
125,四川省攀枝花市市辖区
126,四川省攀枝花市攀煤集团公司
127,四川省攀枝花市攀钢集团公司
128,四川省泸州市市辖区
129,四川省甘孜州德格县
130,四川省甘孜州理塘县
131,四川省甘孜藏族自治州康定县
132,四川省眉山市市辖区
133,四川省绵阳市安县
134,四川省绵阳市市辖区
135,四川省绵阳市经开区
136,四川省绵阳市高新区
137,四川省自贡市自流井区丹桂街道
138,四川省达州市市辖区
139,四川省达州市经开区
140,四川省遂宁市射洪县
141,四川省遂宁市市辖区
142,四川省阿坝州茂县
143,四川省阿坝藏族羌族自治州马尔康县
144,四川省雅安市名山区
145,四川省雅安市市辖区
146,国外nullnull
147,天津市县宁河县
148,天津市县蓟县
149,宁夏回族自治区吴忠市市辖区
150,宁夏回族自治区固原市市辖区
151,宁夏回族自治区石嘴山市市辖区
152,宁夏回族自治区银川市市辖区
153,安徽省亳州市市辖区
154,安徽省六安市市辖区
155,安徽省六安市经济区
156,安徽省合肥市合巢经开区
157,安徽省合肥市巢湖市
158,安徽省合肥市市辖区
159,安徽省合肥市新站区
160,安徽省合肥市经开区
161,安徽省合肥市经济技术开发区
162,安徽省合肥市高新区
163,安徽省安庆市市辖区
164,安徽省安庆市开发区
165,安徽省安庆市潜山县
166,安徽省安庆市皖河农场
167,安徽省宣城市市辖区
168,安徽省宣城市广德县
169,安徽省宿州市宿州高新区
170,安徽省宿州市宿马园区
171,安徽省宿州市市辖区
172,安徽省宿州市开发区
173,安徽省池州市九华山
174,安徽省池州市市辖区
175,安徽省淮北市市辖区
176,安徽省淮南市山南新区
177,安徽省淮南市市辖区
178,安徽省淮南市开发区
179,安徽省淮南市毛集区
180,安徽省滁州市市辖区
